"Publication";"Name of classification";"Criteria for class assignment";"Methodology";"Layer in RasterStack";"Background and specifications";"Number of classes (zonal/azonal)";"Cover deviation from overall mean area of all classifications [%]";"Original file format";"Source";"Access date"
"The Nature Conservancy, 2009";"Terrestrial ecoregions of the world";"Macro-biogeographic patterns";"Compilation of selected global and regional ecozones, alignment and expert informed modification";19;"Different global and regional geospatial resources including global ecoregions by Olson and Dinerstein (2002), ecoregions of the United States by Bailey (1995), terrestrial ecozones of Canada by Wiken (1986) and terrestrial assessment units of The Nature Conservancy were modified according to ecological, bio-physical and political criteria.";"16 (15/1)";5.2;"vector";"https://geospatial.tnc.org/datasets/b1636d640ede4d6ca8f5e369f2dc368b/about and https://databasin.org/maps/new/#datasets=9c7bc177c6154d71b0458391f3177053";"26.02.2021"
"Peel et al., 2007";"Updated world map of the Köppen-Geiger climate classification";"Climate (temperature and precipitation)";"Classification and spatial interpolation of observational climate records based on predefined thresholds";20;"Long-term monthly time series records on local temperature and precipitation from 4279 climate stations were classified according to the original Köppen-Geiger system (Köppen, 1936) with minor adjustments. Continuous maps were created by two-dimensional spatial interpolation with thin-plate spline.";"31 (31/0)";5.18;"raster";"http://www.hydrol-earth-syst-sci.net/11/1633/2007/hess-11-1633-2007-supplement.zip";"16.04.2021"
"Bartholomé & Belward, 2005";"GLC2000: a new approach to global land cover mapping from Earth observation data";"Top-of-canopy surface reflectance";"Derivation of land cover maps from spectral surface reflectance at four wavelength ranges based on regionally optimized image classification procedure";21;"This land cover product is generated from global daily images of the year 2000 from the VEGETATION-1 sensors of the SPOT 4 satellite and other remote sensing instruments. Regionally specific continental maps were harmonized into one consistent global map.";"21 (20/1)";-5.89;"raster";"https://forobs.jrc.ec.europa.eu/products/glc2000/products.php";"29.07.2019"
"Kaplan et al., 2003";"Climate change and arctic ecosystems: 2. modeling, paleodata-model comparisons, and future projections";"Potential natural vegetation and associated phenological, hydrological and biogeochemical characteristics";"Coupled biogeographic and biogeochemical distribution modelling of biomes of defined by main potential natural vegetation types";22;"Simulation of the distribution of major potential natural vegetation types to form biomes with the BIOME4 model. Input factors comprise solar radiation, atmospheric CO2, climatic parameters (precipitation, temperature, solar radiation) and soil characteristics. Competition among plant functional types is accounted for by consideration of net primary productivity (NPP) and maximum leaf area (LAI). Biomes are assigned to plant functional types by empirical classification (https://pmip2.lsce.ipsl.fr/synth/biome4.shtml).";"27 (27/0)";-5.55;"raster";"Geospatial files were provided by the authors upon request";"17.04.2019"
"Olson et al., 2001";"Terrestrial ecoregions of the world: a new map of life on Earth";"Distribution of distinct natural communities prior to human land use change, biogeographic zonation and species distribution";"Review of global and regional biogeographic provinces, hierarchical classification into ecoregions, refinement based on expert consultation, nesting of ecoregions into biomes and biogeographic realms";23;"Global biome concepts, biogeographic provinces and distribution maps of certain floristic and zoological groups as well as main vegetation types were reviewed. Realms were detected by hierarchical classification and adjusted according to expert opinion. Delineated ecoregions were refined based on regional maps. Finally, 825 terrestrial ecoregions were nested into biomes and biogeographic realms.";"16 (15/1)";5.14;"vector";"https://databasin.org/datasets/68635d7c77f1475f9b6c1d1dbe0a4c4c/";"24.04.2021"
"Loveland et al., 2000";"Development of a global land cover characteristics database and IGBP DISCover from 1 km AVHRR data";"NDVI";"Unsupervised classification and subsequent stratification of monthly NDVI composites provided by AVHRR from 1992–1993 at continental scale";24;"The IGBP DISCover global land cover data set served as the base for the derivation of seven distinct land cover products. Those include: Olson Global Ecosystems (Olson, 1994), IGBP DISCover (Belward, 1996), Biosphere–Atmosphere Transfer Scheme (BATS) (Dickinson et al., 1986), Simple Biosphere Model (SiB) (Sellers et al., 1986), Simple Biosphere Model 2 (SiB2) (Sellers et al., 1996), USGS Land Use/Land Cover System (Anderson et al., 1976), Global Remote Sensing Land Cover (Running et al., 1995).";"16 (15/1)";3.89;"raster";"https://webmap.ornl.gov/wcsdown/dataset.jsp?ds_id=10004";"12.11.2019"
"Ramankutty & Foley, 1999";"Estimating historical changes in global land cover: croplands from 1700 to 1992";"Potential natural vegetation";"Informed classification of remotely sensed land cover";25;"Potential natural vegetation is derived by classifying DISCover land cover data following the Olson Global Ecosystems framework (Olson, 1994).";"12 (12/0)";-4.25;"raster";"https://ecotope.org/anthromes/v2/data/";"24.09.2019"
"Leemans, 1990";"Possible changes in natural vegetation patterns due to global warming";"Vegetation determined by bio-climatic site conditions (biotemperature, precipitation, potential evapotranspiration ratio)";"Application of the Holdridge life zone classification (Holdridge 1947, 1967) based on spatially interpolated bio-climatic parameters from climate station records";26;"Climate observation records of from around 5500 stations around the globe from 1931-1960 were compiled to extract monthly mean temperature and precipitation data. Holdridge’s life zone classification (Holdridge 1947, 1967) was applied to derive a map of world life zones/large-scale vegetation patterns.";"39 (38/1)";0.56;"vector";"https://www.unep-wcmc.org/resources-and-data/holdridges-life-zones";"25.02.2021"
"Schultz, 1988, 1995, 2002, 2008, 2016";"Ecozones of the Earth";"Climate (temperature, precipitation, evapotranspiration), vegetation (community composition, phytomass distribution, primary production, growing season), radiation, pedosphere, lithosphere, fauna, human activities (settlement, land use)";"Review, evaluation of regional ecological studies, quantitative ecosystem analysis";27;"The Ecozones of the Earth were originally published in 1988 with four revised editions (1995, 2002, 2008, 2016). The spatial distribution of the ecozones is based on Troll and Paffen (1964) and was revised in respect to the subdivision of seasonal tropic and summer moist tropic ecozones. We digitized, the third edition (Schultz, 2002) because this map includes mountains (only shown in newer versions from 2002, 2008, and 2016) and large parts of Antarctica (only shown in older versions from 1988, 1995, and 2002). “Ecozones of the Earth” is the translated title. The original title is “Ökozonen der Erde” (German).";"15 (14/1)";4.87;"vector";"map digitization";"-"
"Müller-Hohenstein, 1981";"Landscape belts of the Earth";"Climate, vegetation, soil";"Review and combination of thematic concepts";28;"The biogeographic landscape belts are adapted from Troll & Paffen (1964) considering climatic characteristics in combination with large-scale vegetation patterns from Schmithüsen (1976) and soil characteristics provided by Ganssen & Hädrich (1965). “Landscape belts of the Earth” is the translated title. The original title is “Die Landschaftsgürtel der Erde” (German). The map shown was reissued by Schulze et al. (2019).";"15 (13/2)";4.86;"vector";"map digitization";"-"
"Schmithüsen, 1976";"Atlas of biogeography";"Climate (temperature, potential evapotranspiration), potential natural vegetation, soil, topography, elevation";"Biogeographic analysis";29;"An underlying assumption of the Atlas of Biogeography is that vegetation patterns mirror climatic conditions and are furthermore influenced by regional geological effects and disturbances. Geographical units are defined by zonal natural vegetation with climax stages that cannot be distinguishing by sharp gradients. Anthropogenic effects are not considered in this theoretical concept. The map was adapted by Sitte et al. (2002) and by Pfadenhauer & Klötzli (2014). “Atlas of Biogeography” is the translated title. The original title is “Atlas zur Biogeographie” (German).";"31 (29/2)";4.87;"vector";"map digitization";"-"
"Whittaker, 1975";"Communities and ecosystems";"Climate (temperature, precipitation) and vegetation (plant community distribution)";"Biogeographic analysis";30;"The presented biome map outlines terrestrial macro-biogeographic patterns.";"14 (12/2)";-3.69;"vector";"map digitization";"-"
"Walter, 1964, 1968; Walter & Breckle, 1970; Breckle & Rafiqpoor, 2019";"Vegetation and climate";"Bio-physical environmental parameters including temperature, precipitation, solar radiation, soil characteristics, flora and fauna, continentality and maritime influence, snow cover";"Classification according to defined thresholds on climatic data, vegetation proxies and surface cover indices";31;"For this classification, biomes are defined as consistent terrestrial ecological regions to form habitats which correspond to relatively uniform landscapes. Those fundamental global ecological units are characterized by similar vegetation and fauna. Important shaping factors are climate and soil. The concept includes ecotones which mark small-scale transition zones between distinct areas of certain exclusive classes. Zonobiomes are zonally connected and azonal relief units, like mountain systems, are defined as orobiomes.  The first version consisted of two volumes with the original title “Die Vegetation der Erde in öko-physiologischer Betrachtung“ (Walter, 1964, 1968). There have been several later English and German editions of this fundamental book series over the past decades. Those include among others Walter (1973, 1979, 1984, 1990) and Walter & Breckle (1985, 1991, 1999). The map consulted in this inventory was taken from the last edition by Breckle & Rafiqpoor (2019).";"34 (32/2)";-3.69;"vector";"map digitization";"-"
